index,mbti,movie
2144,"Heather(ENFP),Blair Witch(INTJ),",   The Blair Witch Project (1999)
2145,"Ernesto ""Che"" Guevara de la Serna(ENFP),Ernesto ""Che"" Guevara de la Serna(ENFP),Alberto Granado(ENTP),",   The Motorcycle Diaries (2004)
2146,"Juliet Hulme(ENFP),Pauline Parker(INFP),",   Heavenly Creatures (1994)
2147,"Ed(ENFP),Ed(ENFP),Kirk(ENTJ),Dexter(ISFJ),",   Good Burger (1997)
2148,"Aladar(ENFP),Url(ENFP),Zini(ENTP),Kron(ENTJ),Baylene(ISFJ),Bruton(ISTP),Yar(ISTJ),Plio(INFJ),",   Dinosaur (2000)
2149,"Diane Sherman(ENFP),",   Run (2020)
2150,"Chas Kramer(ENFP),Chas Kramer(ENFP),Balthazar(ENTJ),Beeman(ISFJ),Father Hennessy(ISFJ),John Constantine(ISTP),Midnite(ISTJ),Angela Dodson(INFJ),Gabriel(INFJ),",   Constantine (2005)
2151,"Glasha(ENFP),",   Come and See (1985)
2152,"Laura(ENFP),Laura(ENFP),Doc(ISTP),Paterson(INFJ),",   Paterson
2153,"Seymour Crider(XXXX),Princess Victoria ""Tori""(ENFP),Princess Meredith(XXXX),Princess Trevi(ISFJ),Duchess Amelia(ISTJ),Keira(INTP),Keira(INTP),",   Barbie : The Princess And The Popstar
2154,"Del Griffith(ENFP),Susan Page(ISFJ),","   Planes, Trains and Automobiles (1987)"
2155,"Tommy Wiseau(ENFP),Greg(ISFJ),Greg(ISFJ),",   The Disaster Artist
2156,"Ramona(ENFP),Ramona(ENFP),",   Ramona and Beezus (2010)
2157,"John(ENFP),Charlotte(INFP),Bob Harris(INTP),Bob Harris(INTP),",   Lost in Translation (2003)
2158,"Commisar Danilov(ENFP),Tania Chernova(INFJ),Vassili Zaitsev(INTP),",   Enemy at the Gates (2001)
2159,"Diane Freeling(ENFP),Dr. Lesh(ENFJ),Dana(ENTP),Robbie Freeling(ISFP),Marty(ISFJ),Ryan(ISTP),Tangina Barrons(INFJ),",   Poltergeist (1982)
2160,"Lily Bridges(ENFP),Louisa ""Lucy"" Fly(INTP),Teiji Matsuda(INTJ),",   Earthquake Bird (2019)
2161,"Holly March(ENFP),Amelia(ISFP),John Boy(ISTJ),",   The Nice Guys (2016)
2162,"Ellen Olenska(ENFP),May Welland(ISFJ),Newland Archer(ISTJ),",   The Age of Innocence (1993)
2163,"Lisa Hesselman(ENFP),Michael Stone(INFP),",   Anomalisa (2015)
2164,"William ""Billy"" McMahon(ENFP),Neha Patel(ENFP),Nicholas ""Nick"" Campbell(ENFJ),Dana Simms(ISTJ),Lyle Spaulding(INTP),Stuart Twombly(INTJ),",   The Internship (2013)
2165,"Eleanor(ENFP),Mackenzie Walsh(ISTJ),",   Godmothered (2020)
2166,"Charlie Mackenzie(ENFP),Rose Michaels(ISFJ),Harriet Michaels(ISTJ),",   So I Married an Axe Murderer (1993)
2167,"Erin Brockovich(ENFP),George(INTP),",   Erin Brockovich (2000)
2168,"Sabine(ENFP),Stepan Dachevsky(ISFP),Emil Dachevsky(ISTJ),Mr. Bean(INTP),",   Mr. Bean's Holiday (2007)
2169,"Pirate Captain(ENFP),Queen Victoria(ENTJ),Number Two(ISFJ),Mr. Bobo(ISTJ),Charles Darwin(INTP),",   The Pirates! In an Adventure with Scientists! (2012)
2170,"Milo Dean(ENFP),Maggie Dean(INFJ),",   The Skeleton Twins (2014)
2171,"Nash(ENFP),Eames(ENTP),Saito(ENTJ),Dominick Cobb(ISTP),Arthur(ISTJ),Robert Fischer(INFP),Mal(INFJ),Ariadne(INTP),Yusuf(INTP),Stephen Miles(INTJ),",   Inception (2010)
2172,"Kenny Potter(ENFP),Charley(ISFP),Jim(INFP),George Falconer(INFJ),",   A Single Man (2009)
2173,"Catwoman(ENFP),Patience Phillips(ISFP),",   Catwoman (2004)
2174,"George(ENFP),Ursula Stanhope(XXXX),",   George of the Jungle (1997-2003)
2175,"Sara Thomas(ENFP),Jonathan Trager(ENTP),",   Serendipity (2001)
2176,"Geet Dhillon(ENFP),Aditya Kashyup(ISTJ),",   Jab We Met (2007)
2177,"Aman Mathur(ENFP),Rohit Patel(ISFJ),Naina Catherine Kapur(ISTJ),",   Kal Ho Naa Ho
2178,"Adèle Blanc-Sec(ENFP),Professor Ménard(INTP),",   The Extraordinary Adventures of Adèle Blanc-Sec
2179,"Alicia Huberman(ENFP),Alexander Sebastian(ENFJ),Devlin(INTJ),",   Notorious (1946)
2180,"Penelope ""Penny"" Lockhart(ENFP),Dodge Petersen(ISFJ),",   Seeking a Friend for the End of the World
2181,"Kirikou(ENFP),Kirikou's grandfather(ENFJ),Kirikou's mother(INFJ),Karaba(INTJ),",   Kirikou and the Sorceress (1998)
2182,"Ram Shankar Nikumbh(ENFP),Ishaan Awasthi(INFP),",   Like Stars on Earth (2007)
2183,"Michael O'Neal(ENFP),George Downes(ENTP),Julianne Potter(ENTJ),Kimmy Wallace(XXXX),",   My Best Friend's Wedding (1997)
2184,"Jack Rusoe(XXXX),Jack Rusoe(XXXX),Jack Rusoe(XXXX),Nim Rusoe(ENFP),Alexandra ""Alex"" Rover(INFJ),",   Nim's Island
2185,"Bob Callahan(XXXX),Hogan 'Hoagie' Malloy(ENFP),Anna Malloy(ENFJ),Randy 'Chilli' Chilliano(ISFP),Jerry Pierce(ISTP),Kevin Sable(INFP),Rebecca Crosby(INTP),",   Tag (2018)
2186,"Anna(ENFP),Elise(ISFP),Nemo Nobody(INFP),",   Mr. Nobody (2009)
2187,"Sir Percy Blakeney(ENFP),Margaerite St Just(ISFP),Paul Chauvelin(INTJ),",   The Scarlet Pimpernel (1982)
2188,"Poppy(ENFP),",   Happy Go Lucky
2189,"Maddy Bowen(ENFP),Danny Archer(ISTP),",   Blood Diamond (2006)
2190,"Tully(ENFP),Marlo(ENTJ),",   Tully (2018)
2191,"Ezra(ENFP),Benny Gardner(ISFP),Teresa Gardner(ISFJ),Nathan Gardner(ISTJ),Ward Phillips(ISTJ),Lavinia Gardner(INFP),Jack Gardner(XXXX),",   Color Out of Space
2192,"Buffy Summers(ENFP),",   Buffy the Vampire Slayer (1992)
2193,"Spike(ENFP),Honey Thacker(ENFP),Anna Scott(ISFJ),Bernie(ISFJ),William ""Will"" Thacker(INFP),",   Notting Hill (1999)
2194,"Patricia Hingle(ENFP),Helena Markos(ENTJ),Sara Simms(ISFP),Dr. Josef Klempere(ISTJ),Madame Blanc(INTJ),",   Suspiria (2018)
2195,"John Rolfe(ENFP),John Smith(ENTJ),Pocahontas/Matoaka/Rebecca Rolfe(INFJ),",   The New World (2005)
2196,"Dara(ENFP),Bima(ISFP),",   Two Blue Stripes (2019)
2197,"Alyssa ""Ally"" Craig(ENFP),Aidan Hall(ENTP),Charles Hawkins(ENTJ),Helen Craig(ISFJ),Neil Craig(ISTJ),Caroline Hawkins(INFP),Tyler Keats Hawkins(INFJ),",   Remember Me (2010 )
2198,"Matthew Meyerowitz(XXXX),Maureen(ENFP),Danny Meyerowitz(INFP),Jean Meyerowitz(INTP),Harold Meyerowitz(INTJ),",   The Meyerowitz Stories (2017)
2199,"Shauzia(ENFP),Nurullah(XXXX),Fattema(ISFJ),Razaq(ISFJ),Parvana(ISTP),Soraya(ISTJ),",   The Breadwinner
2200,"Rohit Mehra(ENFP),Jaadu(ENFP),Krishna Mehra / Krrish(ENFJ),Kaal(INTJ),",   Krrish (Film Series)
2201,"Ben Greenbaum(ENFP),Herschel Greenbaum(ISTJ),Sarah Greenbaum(INFP),",   An American Pickle
2202,"Amy(ENFP),Adrian Forrester(ENTJ),Nick Eliot(INFJ),",   The Crush (1993)
2203,"Duk Choon(ENFP),Hae Won Maek(ENTP),Kim Ja-Hong(XXXX),Gang Rim(ISTJ),",   Along With The Gods
2204,"Virgil Fox(ENFP),Zeke Thompson(ISTP),Charlie Tuttle(INTP),",   Minutemen (Disney)
2205,"A Gamin(ENFP),A Factory Worker(ISFP),",   Modern Times (1936)
2206,"Annie Kinsella(ENFP),Dr. Archibald 'Moonlight' Graham(ENTJ),'Shoeless' Joe Jackson(ISTP),Terrence Mann(INFP),Ray Kinsella(INFJ),",   Field of Dreams (1989)
2207,"Manni(ENFP),Lola(ISTP),Lola(ISTP),Lola(ISTP),",   Run Lola Run (1998)
2208,"Mary Elizabeth Cep ( Lola)(ENFP),",   Teenager The drama queen
2209,"Jordan Roark(ENFP),Charlie Bellow(ISFJ),",   My Sassy Girl
2210,"Jimmy Chan (#2 Son)(ENFP),Lee Chan (#1 Son)(ENTP),Birmingham Brown(ISFJ),Charlie Chan (Warner Oland)(INFP),Charlie Chan (Sydney Toler)(INTJ),",   Charlie Chan
2211,"Sue(ENFP),Thurman Merman(INFP),",   Bad Santa (2003- 2016)
2212,"Lee Israel(ENFP),Jack Hock(ENTP),Anna(ISFJ),",   Can You Ever Forgive Me? (2017)
2213,"Jimmie Fails(ENFP),Kofi(ENFJ),Montgomery Allen(INTP),",   The Last Black Man in San Francisco
2214,"Br'er Bear(XXXX),Uncle Remus(ENFP),Br'er Fox(ENTP),Br'er Rabbit(ENTP),",   Song of the South (1946)
2215,"Christmas Flint(ENFP),Miss Rayleen(ISTJ),",   Troop Zero
2216,"Nora Diniro(ENFP),Mark Hunter(ISTP),",   Pump Up the Volume (1990)
2217,"Rayette Dipesto(ENFP),",   Five Easy Pieces (1970)
2218,"Patrick ‘Kitten’ Braden(ENFP),Charlie(ENFJ),Irwin Kerr(ISTP),Father Liam(INFJ),",   Breakfast on Pluto (2005)
2219,"Victoria Page(ENFP),Ivan Boleslawsky(ENFJ),Boris Lermontov(ENTP),Julian Craster(XXXX),",   The Red Shoes
2220,"Tommy Callahan(ENFP),Michelle Brock(ISTJ),Richard Hayden(INTJ),",   Tommy Boy ( 1995 )
2221,"Laila(ENFP),Kabir Dewan(XXXX),Imran Qureshi(ENTP),Arjun Saluja(ENTJ),",   Zindagi Na Milegi Dobara
2222,"Judy(ENFP),Frank Stark(ISFJ),John 'Plato' Crawford(INFP),",   Rebel Without a Cause (1955)
2223,"Flora McGrath(ENFP),George Baines(ISTP),Alisdair Stewart(ISTJ),Ada McGrath(INFP),",   The Piano (1993)
2224,"Lily(ENFP),Gump(ENTP),Jack(ISFP),",   Legend (1985)
2225,"Oscar Ekdahl(ENFP),Emelie Ekdahl(ISFJ),Fanny Ekdahl(ISFJ),Bishop Edvard Vegerus(ISTJ),Alexander Ekdahl(INFP),Ismael(INFJ),","   Fanny and Alexander (Fanny och Alexander, 1982)"
2226,"Burt Munro(ENFP),",   The World's Fastest Indian (2005)
2227,"Fred(ENFP),Ghost of Christmas Present(ENFJ),Mr. Fezziwig(ENFJ),Bob Cratchit(ISFJ),Ebenezer Scrooge(ISTJ),Ebenezer Scrooge(ISTJ),Ghost of Christmas Past(INFJ),Ghost of Christmas Yet to Come(INTJ),",   A Christmas Carol (2009)
2228,"Hopeful(ENFP),Evangelist(ENFJ),Christian(INFP),",   The Pilgrim's Progess (2005)
2229,"Pauline (Pomme)(ENFP),Suzanne(ISFJ),","   One Sings, the Other Doesn't (1977)"
2230,"Kelly(XXXX),Spirit of Christmas Present(XXXX),Aunt Marie(XXXX),Ann(ENFP),Nan(ENFP),Spirit of Christmas Past(XXXX),Catherine Beadnell(ENFJ),Barbie(ENFJ),Maurice(ISFP),Eden Starling(XXXX),Chuzzlewit(XXXX),Spirit of Christmas Future(INFJ),Freddy(INFJ),",   Barbie In A Christmas Carol
2231,"Keiko Chazawa(ENFP),Yoruno(ENFJ),Yuichi Sumida(ISFP),",   Himizu (2011)
2232,"Emcee(ENFP),Brian Roberts(ISFJ),",   Cabaret (1972)
2233,"Pippo Botticella(ENFP),Amelia Bonetti(ISFJ),",   Ginger and Fred (1986)
2234,"Bill Django(ENFP),Lyn Cassady(ENTP),Larry Hooper(ENTJ),Bob Wilton(INFP),",   The Men Who Stare at Goats (2009)
2235,"Barbarella(ENFP),Professor Ping(ENFJ),Pygar(ISFJ),The Black Queen(ISTP),Durand Durand(INTJ),",   Barbarella
2236,"Bret Maverick(ENFP),",   Maverick (1994)
2237,"Corrado Zeller(ENFP),Giuliana(INFJ),",   Red Desert (1964)
2238,"Frank N. Furter(ENFP),Magenta(ENFP),Janet Weiss(ISFJ),Brad Majors(ISTJ),",   The Rocky Horror Picture Show (2016)
2239,"Anni(ENFP),Ivan Kartuzov(ISFP),Veikko(INFJ),",   The Cuckoo (2002)
2240,"Emily Wotton(ENFP),Lord Henry Wotton(ENTP),Sibyl Vane(XXXX),Basil Hallward(INFP),",   Dorian Gray (2009)
2241,"Mason(ENFP),Grace(INFP),",   Short Term 12 (2013)
2242,"Claire Richards(ENFP),Astrid Magnussen(ISFP),Paul Trout(INFP),Ingrid Magnussen(INTJ),",   White Oleander (2002)
2243,"Jill St. Claire(ENFP),James Stefan ""Jimmy The Tulip"" Tudeski(ENFJ),Sophie Oseransky(ENTJ),Dr. Nicholas ""Oz"" Oseransky(XXXX),",   The Whole Nine Yards (2000)
2244,"Jean Markham(ENFP),Lydia Weekes(ISFJ),",   Tell it to the Bees (2018)
2245,"Molly Mahoney(ENFP),",   One Small Hitch (2012)
2246,"Tom Sawyer(ENFP),Huckleberry Finn(ISFP),Becky Thatcher(ISFJ),",   Tom Sawyer (1973)
2247,"Ricky Tarr(ENFP),Bill Haydon(ENFJ),Jim Prideaux(ISTP),Peter Guillam(ISTJ),Control(INTP),George Smiley(INTJ),Karla(INTJ),",   Tinker Tailor Soldier Spy (2011)
2248,"Woody Guthrie(ENFP),Robbie Clark(ENTJ),Jack Rollins(ISFP),Jude Quinn(INFP),Billy the Kid(INFJ),Arthur Rimbaud(INTJ),",   I'm Not There (2007)
2249,"Jane Banner(ENFP),Cory Lambert(INTP),",   Wind River
2250,"Ralph Garci (Raul Garcia)(ENFP),",   Fame (1980)
2251,"Vera Wellbond(ENFP),Edie(ISTJ),Alice Lamb(INFP),Frank Wellbond(INFP),",   Summerland (2020)
2252,"Bill(ENFP),Rose(ENTP),Katherine(ISFP),Linda(INFJ),",   The Blackcoat's Daughter
2253,"Johnnie Gray(ENFP),Annabelle Lee(ISFJ),",   The General (1926)
2254,"Miggery Sow(ENFP),Despereaux(ENFJ),Roscuro(ISFP),Princess Pea(INFP),",   The Tale of Despereaux (2008)
2255,"Norma Rae Webster(ENFP),",   Norma Rae ( 1979 )
2256,"Jin-Seok(ENFP),Yoo-Seok(INTJ),",   Forgotten (K Movie)
2257,"Elaine Stalker(ENFP),Paul Legar(ENTP),Leo Sweetie(ENTJ),Grace Stalker(INFP),Axel Blackmar(INFP),",   Arizona Dream (1993)
2258,"Georgia Miles(ENFP),Danilo Prozor(ISFP),",   Four Friends (1981)
2259,"Julius(ENFP),Darwin(ENTP),April(INTP),Pops(INTJ),",   April and the Extraordinary World
2260,"Haruka(ENFP),Baron(ENTJ),Cotton(ISFP),Teo(INTJ),",   Oblivion Island: Haruka and the Magic Mirror
2261,"Andy Kaufman(ENFP),",   Man on the Moon ( 1999 )
2262,"Øystein Stene(ENFP),Karl Bertil Nordland(INFP),Barbora Kysilkova(INFJ),",   The Painter and the Thief (2020)
2263,"Donna Hawthorne(ENFP),James Barris(ENTP),Ernie Luckman(ISFP),Bob Arctor(INFP),Charles Freck(INTP),",   A Scanner Darkly (2006)
2264,"Mariana(ENFP),Martín(INFP),",   Medianeras
2265,"Forrest Tucker(ENFP),John Hunt(ISFP),Jewel(INFJ),",   The Old Man & the Gun
2266,"Elisa Sanchez Loriga(ENFP),Marcela Gracia Ibeas(INTP),",   Elisa & Marcela (2019)
2267,"Lilly(ENFP),Annabel(ISFJ),Victoria(ISTJ),MAMA(INFP),",   MAMA (2013)
2268,"Tokue(ENFP),Wakana(ISFJ),Sentarō(ISTJ),",   Sweet Bean (An) (2015)
2269,"Holly(ENFP),Mickey(ENTP),Lee(ISFP),Hannah(ISFJ),Elliot(INFP),",   Hannah and Her Sisters (1986)
2270,"Alice Mori(ENFP),Ben King(ISFJ),",   Plus One (2019)
2271,"Reiner(ENFP),Counselor(ISFJ),Malkina(INTJ),",   The Counselor
2272,"Dante(ENFP),Alicia(ENFP),Martín Echenique(ENTJ),Hache(ISFP),",   Martín (Hache)
2273,"Toad(ENFP),Rat(ENFJ),Mole(ISFP),Badger(ISTJ),",   The Wind In The Willows (1984)
2274,"Melanie Zimmerman(ENFP),Ashley Kane(ENFJ),Philip Friedman(ISFP),Ike Zimmerman(INFJ),",   Listen Up Philip
2275,"Doug Glatt(XXXX),Xavier Laflamme(ENFP),Pat(ISTP),Eva(INFP),",   Goon (2011)
2276,"Leutnant Werner(ENFP),Kapitenleutnant(ISTJ),",   Das Boot (1981)
2277,"Fly(ENFP),",   Animado
2278,"Marianne Drumond(ENFP),",   La Belle Époque (2019)
2279,"Orestes(ENFP),Hypatia(INTP),",   Agora
2280,"Sam(ENFP),Pat(ISTP),Amber(INFP),Darcy(INTJ),",   Green Room
2281,"Jennifer Harwood(ENFP),Joan Carlyle(ISTJ),Teddy Harwood(INFP),Tina Harwood(INTP),Casey Carlyle(INTJ),",   Ice Princess (2005)
2282,"Molly Maxwell(ENFP),",   Molly Maxwell (2013)
2283,"Mandira Khan(ENFP),Sameer Khan(ENTP),Rizwan Khan(INFJ),",   My Name Is Khan
2284,"Hans Beckert(ENFP),",   M (1931)
2285,"Rhoda Penmark(XXXX),Christine Penmark(ENFP),",   The Bad Seed (1956)
2286,"Scott Mary(ENFP),Frank Talby(ENTJ),Murph Allan Short(INFJ),",   Day of Anger (i Giorni dell'ira; 1967)
2287,"Darryl(ENFP),Elizabeth Masterson(XXXX),David Abbott(INFP),",   Just Like Heaven (2005)
2288,"Sonja(ENFP),Boris Grushenko(INTP),",   Love and Death (1975)
2289,"Bodi(ENFP),Germur(ISFP),Khampa(ISFJ),Angus Scattergood(INTJ),",   Rock Dog
2290,"Mildred Hubble(ENFP),Miss Hardbroom(ISTJ),",   The Worst Witch (1986)
2291,"Leonard Lowe(ENFP),Malcolm Sayer(INTP),",   Awakenings (1990)
2292,"Pinocchio ( Jonathan Taylor Thomas ) ""Woody""(ENFP),",   The Adventures of Pinocchio (1996)
2293,"Stella Bradshaw(ENFP),Meredith Potter(ENTP),",   An Awfully Big Adventure (1995)
2294,"Lulu(ENFP),",   Human Traffic
2295,"Kresten(ENFP),",   Mifune / Mifunes sidste sang (1999)
2296,"Imogen(ENFP),Alfred Connelly(ISFJ),",   Down to you
2297,"Benny(ENFP),Jacob(INFP),",   Kopps (2003)
2298,"Andrew Bagby(ENFP),",   Dear Zachary: A Letter to a Son About His Father
2299,"Randolph ""Randy"" Dupree(ENFP),Molly Thompson Peterson(ENFP),Carl Peterson(ENTP),","   You, Me, and Dupree ( 2006)"
2300,"Lee Geun Yeong/Miao Miao(ENFP),Hoo Joon/Houzhun(INTJ),",   So I Married An Anti-fan (2016)
2301,"Teddy McSwiney(ENFP),Myrtle ""Tilly"" Dunnage(ISFP),",   The Dressmaker (2015)
2302,"Shiyo Takaoka(ENFP),Itsumi Shiraishi(ENFJ),Akane Kominami(ISFP),Mirei Nitani(ISTJ),Sayuri Sumikawa(INFJ),Diana Decheba(INFJ),",   The Dark Maidens (2017)
2303,"Jerry Brinson(ENFP),Ruth-Ann(ENFJ),Jeanette Brinson(ISTJ),Joe Brinson(INFP),",   Wildlife (2018)
2304,"Brain(ENFP),Dr. Schadenfreude(ENTP),Eva(ISFJ),Igor(INTP),Scamper(INTJ),",   Igor
2305,"Eddie(ENFP),Rover Dangerfield(ENTP),Raffles(ISFJ),",   Rover Dangerfield
2306,"Mama(ENFP),Jack Frost(ISFP),",   Jack Frost (1979)
2307,"Heinrich(ENFP),Mark(ISTJ),Anna(INFP),",   Possession (1981)
2308,"Nick Palme(ENFP),Kate Armstrong(ISTJ),",   No reservations (2007)
2309,"Lise(ENFP),Morgane(ENTJ),Jeanne(ISFJ),M.A(INFP),Hazuki(INFJ),",   Girls With Balls
2310,"Solan Gundersen(ENFP),Ludvig(ISFJ),Reodor Felgen(ISTP),",   Flåklypa « The Pinchcliffe Grand Prix» and the other movies
2311,"Clarisse(ENFP),Guy Montag(XXXX),",   Fahrenheit 451 (1966)
2312,"Dave(ENFP),",   Dave Made a Maze
2313,"Barış(ENFP),Füsun(ISFJ),",   Delibal
2314,"Tuk Tuk(ENFP),",   Raya and the Last Dragon (2021)
2315,"Sibel Guner(ENFP),Cahit Tomruk(ISFP),Selma(ISTJ),",   Head-On (Gegen die Wand)
2316,"Littlewood(ENFP),Bertrand Russell(ENTP),Major McMahon(ENTJ),Srinivasa Ramanujan(INTP),Srinivasa Ramanujan(INTP),G. H. Hardy(INTJ),",   The Man Who Knew Infinity (2015)
2317,"Hannah(ENFP),Slappy the Dummy(XXXX),Champ(ENTP),Zach(ISTJ),R. L. Stine(INTJ),",   Goosebumps (2015)
2318,"Phyllis Bernard(ENFP),Billy Kramer(ISFP),Ted Kramer(ISTJ),Joanna Krammer(INFP),Margaret Phelps(INFJ),John Shaunessy(INTP),",   Kramer vs. Kramer
2319,"Emily Gardner(ENFP),Kumail Nanjiani(ENTP),",   The Big Sick (2017)
2320,"Wanda Orzechowska(ENFP),Jan(ISTP),Zbyszek Grunwald(INFP),",   Love is Everything/Miłość jest wszystkim
2321,"George(ENFP),Carol Peters(INTP),",   Superintelligence (2020)
2322,"Thadeus(ENFP),Isabel(XXXX),",   Your Highness (2011)
2323,"Volodya(ENFP),Lilya(ISFP),",   Lilya 4-ever (2002)
2324,"Willow MacGrego(ENFP),Lord Summerisle(ENFJ),Sgt. Neil Howie(ISTJ),",   The Wicker Man ( 1973)
2325,"Nanni Moretti(ENFP),Gerardo(ISTJ),",   Caro diario (1993)
2326,"Samuel(ENFP),",   Demain Tout Commence
2327,"Aunt Opal(ENFP),Judy Moody(ENTP),",   Judy Moody and the Not Bummer Summer
2328,"Jane Fuller(ENFP),Hannon Fuller(INTP),Douglas Hall(INTJ),",   The Thirteenth Floor
2329,"Max Medici(ENFP),V. A. Vandevere(ENTJ),Colette Marchant(ISFP),Dumbo(ISFP),Joe Farrier(ISFJ),Holt Farrier(ISTJ),Milly Farrier(INTP),",   Dumbo (2019)
2330,"Zoe(ENFP),Kathleen(ISFJ),Sam(INTJ),",   Borrowed Hearts
2331,"Zohan(ENFP),Dalia(ISTP),",   You Don’t Mess with the Zohan
2332,"Eugenia(ENFP),Andrei Gorchakov(INTJ),",   Nostalghia (1983)
2333,"Ava(ENFP),Machine(ENFP),Vincent(ISTP),Thomson(ISTJ),",   The Machine (2013)
2334,"Conner(ENFP),Lawrence(ISTJ),Owen(INFP),",   Popstar: Never Stop Never Stopping
2335,"Jesse Wallace(ENFJ),Céline(INFP),",   The Before Trilogy
2336,"Stella Grant(ENFJ),",   Five Feet Apart (2019)
2337,"Paul(XXXX),Samantha(ENFJ),Theodore Twombly(INFP),Amy(INFP),",   Her (2013)
2338,"Jorge Bergoglio / Pope Francis(ENFJ),",   The Two Popes (2019)
2339,"Lancaster Dodd ""The Master""(ENFJ),Freddie Quell(ISFP),Peggy Dodd(INFJ),",   The Master (2012)
2340,"Rose the Hat(ENFJ),Snakebite Andi(ISFP),Billy Freeman(ISFJ),Crow Daddy(ISTP),Dan Torrance(INFJ),",   Doctor Sleep (2019)
2341,"Adolf Hitler(ENFJ),Eva Braun(ISFP),",   Hitler: The Rise of Evil (2003)
2342,"Falkor(ENFJ),Falkor(ENFJ),Engywook(ENTP),Engywook(ENTP),Nighthob(ISFP),Urgl(ISFJ),Rock Biter(ISFJ),Atreyu(ISTP),Cairon(ISTJ),Bastian Balthazar Bux(INFP),The Childlike Empress(INFP),The Childlike Empress(INFP),Morla(INFP),Teeny Weeny(INFP),Gmork(INFJ),Carl Conrad Coreander / The Bookseller(INFJ),",   The Neverending Story (1984)
2343,"David Sheff(ENFJ),",   Beautiful Boy (2018)
2344,"Him (God)(ENFJ),Him (God)(ENFJ),Her (Earth)(ISFJ),",   Mother! (2017)
2345,"Freder(ENFJ),Robot Maria(ENTP),Josaphat(ENTJ),The Machine Man(ISTJ),Maria(INFP),Rotwang(INTP),",   Metropolis (1927)
2346,"Kevin Jones(ENFJ),Kevin Jones(ENFJ),Chiron Harris(ISFP),",   Moonlight (2016)
2347,"Adolf Hitler(ENFJ),Fabian Sawatzki(XXXX),",   Look Who's Back/Er ist wieder da (2015)
2348,"Rosalinda(ENFJ),Carter Mason(ISFP),Carter Mason(ISFP),",   Princess Protection Program
2349,"Jasmine French(ENFJ),Jasmine French(ENFJ),Ginger(ISFJ),",   Blue Jasmine (2013)
2350,"Gerda Wegener(ENFJ),Hans Axgil(ISFJ),Lili Elbe(INFP),Lili Elbe(INFP),Lili Elbe(INFP),",   The Danish Girl (2015)
2351,"Sophie Baker(ENFJ),Stanley Crawford(INTJ),",   Magic in the Moonlight (2014)
2352,"Walter McMillian(XXXX),Bryan Stevenson(ENFJ),Eva Ansley(ISFP),",   Just Mercy (2019)
2353,"William(ENFJ),Ravenna(ENTJ),Snow White(ISFP),Snow White(ISFP),Eric(ISTP),",   Snow White and the Huntsman
2354,"Annie Reed(ENFJ),Jonah Baldwin(ENTP),Walter Jackson(ISFJ),Sam Baldwin(INTP),",   Sleepless in Seattle (1993)
2355,"Director Lamar Burgess(ENFJ),Danny Witwer(ENTP),Chief John Anderton(ISTP),Chief John Anderton(ISTP),Chief John Anderton(ISTP),Chief John Anderton(ISTP),Gordon ""Fletch"" Fletcher(ISTJ),Wally the Caretaker(INFP),Agatha Lively(INFJ),",   Minority Report ( 2002)
2356,"Brooke Dalton(XXXX),Nick Vaughn(ENFJ),Hannah(INFJ),",   Before We Go (2014)
2357,"Margaret Yang(ENFJ),Max Fischer(ENTP),Max Fischer(ENTP),Dirk Calloway(ISFP),Herman Blume(ISTP),Rosemary Cross(INFP),Rosemary Cross(INFP),",   Rushmore (1998)
2358,"Simón Bolívar(ENFJ),Tiránico(ENTJ),Américo(ISFP),",   Bolívar el héroe (2003)
2359,"Cleve Jones(XXXX),Harvey Milk(ENFJ),Jack Lira(ISFP),Dan White(ISTJ),",   Milk (2008)
2360,"Ota(ENFJ),Ting-Ting(ISFJ),N.J.(ISTJ),Yang-Yang(INTJ),",   Yi Yi (2000)
2361,"Brother Aidan(ENFJ),Crom Cruach(XXXX),Pangur Bán(ISFJ),Abbot Cellach(ISTJ),Brendan(INFP),",   The Secret of Kells (2009)
2362,"Maya Arnez(ENFJ),Joaquin(XXXX),Adam Petrazelli(ISFP),Rebecca(INFP),",   Words on Bathroom Walls (2020)
2363,"Don Quixote(ENFJ),Toby Grisoni(ENTP),",   The Man Who Killed Don Quixote (2018)
2364,"Fortis(XXXX),Will Salas(ENFJ),Sylvia Weis(ISFP),Sylvia Weis(ISFP),Timekeeper Raymond Leon(ISTJ),Philippe Weis(ISTJ),Henry Hamilton(INFP),",   In Time (2011)
2365,"Adam Wilde(ENFJ),Kim Schein(ENTP),Mia Hall(ISTJ),",   If I Stay (2014)
2366,"Samuel Bass(ENFJ),Ford(ISTJ),Solomon Northup(INFJ),Solomon Northup(INFJ),Mary Epps(INTJ),",   12 Years a Slave (2013)
2367,"Helga Eveshim(ENFJ),Grand High Witch / Eva Ernst(ENTJ),Miss Susan Irvine(ISFJ),Luke Eveshim(INTP),",   The Witches (1990)
2368,"Buster(ENFJ),Annie Wilkes(ISFJ),",   Misery (1990)
2369,"Jonathan Jones(ENFJ),Jane Wilde(INFJ),Stephen Hawking(INTP),",   The Theory of Everything (2014)
2370,"George Berger(ENFJ),Sheila Franklin(ISFP),Hud's Fiancée(ISTP),Claude Hooper Bukowski(ISTJ),Jeannie Ryan(INFJ),LaFayette ""Hud"" Johnson(INTJ),",   Hair (1979)
2371,"Meg(ENFJ),George(INFP),",   Paperman (2012)
