,movie_index,code,mbti,title,subtitle,link,image,pubDate,director,actors,rating
382,185,146558,"Ricky Baker(ESFP),Ricky Baker(ESFP),Ricky Baker(ESFP),Bella Faulkner(ESFJ),Bella Faulkner(ESFJ),Bella Faulkner(ESFJ),Paula Hall(ESTJ),Psycho Sam(ENFP),Hector Faulkner(ISTP),Hector Faulkner(ISTP),",내 인생 특별한 숲속 여행,Hunt for the Wilderpeople,https://movie.naver.com/movie/bi/mi/basic.nhn?code=146558,https://ssl.pstatic.net/imgmovie/mdi/mit110/1465/146558_P03_104630.jpg,2016,타이카 와이티티,"['줄리안 데니슨', '레이첼 하우스', '리마 테 와이타', '오스카 카이틀리', '샘 닐']",7.54
383,186,158651,"Hi-5(ESFP),Smiley(ESTJ),Smiley(ESTJ),Gene(ENFJ),Jailbreak(ISFP),Jailbreak(ISFP),Mel Meh(ISTJ),Mary Meh(ISTJ),",이모티: 더 무비,The Emoji Movie,https://movie.naver.com/movie/bi/mi/basic.nhn?code=158651,https://ssl.pstatic.net/imgmovie/mdi/mit110/1586/158651_P23_152920.jpg,2017,토니 레온디스,"['T.J. 밀러', '패트릭 스튜어트', '제임스 코든', '마야 루돌프', '안나 페리스', '크리스티나 아길레라', '소피아 베르가라', '션 헤이즈']",6.3
384,187,42253,"John(ESFP),John(ESFP),Gloria Cleary(ESFP),Sack Lodge(ESTP),Mrs. Cleary(ESTP),Chazz(ESTP),William Cleary(ESTJ),Claire Cleary(ENFP),""Grandma"" Mary Cleary(ISTP),Todd Cleary(INFP),",웨딩 크래셔,Wedding Crashers,https://movie.naver.com/movie/bi/mi/basic.nhn?code=42253,https://ssl.pstatic.net/imgmovie/mdi/mit110/0422/D2253-00.jpg,2005,데이빗 돕킨,"['오웬 윌슨', '빈스 본', '크리스토퍼 월켄']",7.43
385,188,116234,"Greta(ESFP),Greta(ESFP),Andie(ESFP),Andie(ESFP),Andie(ESFP),Andie(ESFP),Nick Dunne(ESTP),Margo Dunne(ENTP),Tanner Bolt(ENTP),Desi Collings(ISFJ),Detective Rhonda Boney(ISTJ),Amy Elliott Dunne(INFJ),",나를 찾아줘,Gone Girl,https://movie.naver.com/movie/bi/mi/basic.nhn?code=116234,https://ssl.pstatic.net/imgmovie/mdi/mit110/1162/116234_P06_142426.jpg,2014,데이빗 핀처,"['벤 애플렉', '로자먼드 파이크']",8.31
387,190,17257,"Mallory Knox(ESFP),Jack Scagnetti(ESTP),Wayne Gale(ENTP),Wayne Gale(ENTP),Dwight McClusky(ISTJ),",올리버 스톤의 킬러,Natural Born Killers,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17257,https://ssl.pstatic.net/imgmovie/mdi/mit110/0172/A7257-00.jpg,1994,올리버 스톤,"['우디 해럴슨', '줄리엣 루이스', '로버트 다우니 주니어', '토미 리 존스']",7.24
388,191,17173,"Tristan Ludlow(ESFP),Alfred Ludlow(ENFJ),Alfred Ludlow(ENFJ),Alfred Ludlow(ENFJ),Susannah Fincannon(ISFP),Susannah Fincannon(ISFP),Isabel ""Isabel II"" Decker/Isabel Decker Ludlow(ISFJ),Samuel Ludlow(INFP),One Stab(INFJ),Roscoe Decker(INTP),",가을의 전설,Legends Of The Fall,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17173,https://ssl.pstatic.net/imgmovie/mdi/mit110/0171/17173_P64_171417.jpg,1994,에드워드 즈윅,"['브래드 피트', '안소니 홉킨스', '에이단 퀸', '줄리아 오몬드', '헨리 토마스', '카리나 롬바드']",8.68
389,193,45941,"Jeff Portnoy(ESFP),Jeff Portnoy(ESFP),Alpa Chino(ESFP),Alpa Chino(ESFP),Rick Peck(XXXX),Cody Underwood(ESTP),Damien Cockburn(ENFP),Tugg Speedman(ISFP),Tugg Speedman(ISFP),Tugg Speedman(ISFP),John Tayback(ISTP),Kirk Lazarus(INFJ),",트로픽 썬더,Tropic Thunder,https://movie.naver.com/movie/bi/mi/basic.nhn?code=45941,https://ssl.pstatic.net/imgmovie/mdi/mit110/0459/D5941-00.jpg,2008,벤 스틸러,"['벤 스틸러', '잭 블랙', '로버트 다우니 주니어']",6.58
390,194,168047,"Wye Mun Goh(ESFP),Wye Mun Goh(ESFP),Peik Lin Goh(ESTP),Eleanor Young(ESTJ),Rachel Chu(ENFP),Michael Teo(ISFJ),Astrid Young Teo(INFJ),",크레이지 리치 아시안,Crazy Rich Asians,https://movie.naver.com/movie/bi/mi/basic.nhn?code=168047,https://ssl.pstatic.net/imgmovie/mdi/mit110/1680/168047_P06_140254.jpg,2018,존 추,"['양자경', '젬마 찬', '콘스탄스 우', '아콰피나', '헨리 골딩']",6.82
391,196,164719,"Moonee(ESFP),Moonee(ESFP),Halley(ESTP),Halley(ESTP),Jancey(INFP),",플로리다 프로젝트,The Florida Project,https://movie.naver.com/movie/bi/mi/basic.nhn?code=164719,https://ssl.pstatic.net/imgmovie/mdi/mit110/1647/164719_P16_104908.jpg,2017,션 베이커,"['브루클린 프린스', '윌렘 대포', '브리아 비나이트']",8.66
392,197,41603,"Bridget Vreeland(ESFP),Bridget Vreeland(ESFP),Bridget Vreeland(ESFP),Effie Kaligaris(ESFP),Bailey(ENFP),Carmen Lowell(ENFJ),Lena Kaligaris(ISFJ),Lena Kaligaris(ISFJ),Kostos Dounas(ISTP),Brian McBrian(XXXX),",청바지 돌려입기,The Sisterhood Of The Traveling Pants,https://movie.naver.com/movie/bi/mi/basic.nhn?code=41603,https://ssl.pstatic.net/imgmovie/mdi/mit110/0416/D1603-01.jpg,2005,켄 콰피스,"['앰버 탐블린', '아메리카 페레라', '블레이크 라이블리', '알렉시스 브레델']",8.56
393,198,12415,"Wayne Campbell(ESFP),Wayne Campbell(ESFP),Benjamin Oliver(ENTJ),Cassandra Wong(ISTP),Garth Algar(INFP),",웨인즈 월드,Wayne's World,https://movie.naver.com/movie/bi/mi/basic.nhn?code=12415,https://ssl.pstatic.net/imgmovie/mdi/mit110/0124/A2415-01.jpg,1992,페넬로프 스피어리스,"['마이크 마이어스', '다나 카비', '로브 로우', '티아 카레레']",7.28
394,199,187349,"Franklin ""Mouse"" Finbar(ESFP),Professor Sheldon ""Shelly"" Oberon(ESFP),Professor Sheldon ""Shelly"" Oberon(ESFP),Bethany Walker(ESFJ),Nigel Billingsley(ESFJ),Nigel Billingsley(ESFJ),Nigel Billingsley(ESFJ),Nigel Billingsley(ESFJ),Nigel Billingsley(ESFJ),Anthony ""Fridge"" Johnson(ESTP),Eddie(ESTP),Eddie(ESTP),Alex Vreeke(ENFJ),Jefferson ""Seaplane"" McDonough(ENTP),Dr. Xander ""Smolder"" Bravestone(ENTJ),Dr. Xander ""Smolder"" Bravestone(ENTJ),Van Pelt(ENTJ),Milo(ISFJ),Martha Kaply(INFP),Spencer Gilpin(INTP),",쥬만지: 넥스트 레벨,Jumanji: The Next Level,https://movie.naver.com/movie/bi/mi/basic.nhn?code=187349,https://ssl.pstatic.net/imgmovie/mdi/mit110/1873/187349_P10_112229.jpg,2019,제이크 캐스단,"['카렌 길런', '드웨인 존슨', '케빈 하트', '잭 블랙']",6.12
395,199,152656,"Franklin ""Mouse"" Finbar(ESFP),Professor Sheldon ""Shelly"" Oberon(ESFP),Professor Sheldon ""Shelly"" Oberon(ESFP),Bethany Walker(ESFJ),Nigel Billingsley(ESFJ),Nigel Billingsley(ESFJ),Nigel Billingsley(ESFJ),Nigel Billingsley(ESFJ),Nigel Billingsley(ESFJ),Anthony ""Fridge"" Johnson(ESTP),Eddie(ESTP),Eddie(ESTP),Alex Vreeke(ENFJ),Jefferson ""Seaplane"" McDonough(ENTP),Dr. Xander ""Smolder"" Bravestone(ENTJ),Dr. Xander ""Smolder"" Bravestone(ENTJ),Van Pelt(ENTJ),Milo(ISFJ),Martha Kaply(INFP),Spencer Gilpin(INTP),",쥬만지: 새로운 세계,Jumanji: Welcome to the Jungle,https://movie.naver.com/movie/bi/mi/basic.nhn?code=152656,https://ssl.pstatic.net/imgmovie/mdi/mit110/1526/152656_P18_134507.jpg,2017,제이크 캐스단,"['드웨인 존슨', '케빈 하트', '잭 블랙', '카렌 길런']",7.89
396,199,17440,"Franklin ""Mouse"" Finbar(ESFP),Professor Sheldon ""Shelly"" Oberon(ESFP),Professor Sheldon ""Shelly"" Oberon(ESFP),Bethany Walker(ESFJ),Nigel Billingsley(ESFJ),Nigel Billingsley(ESFJ),Nigel Billingsley(ESFJ),Nigel Billingsley(ESFJ),Nigel Billingsley(ESFJ),Anthony ""Fridge"" Johnson(ESTP),Eddie(ESTP),Eddie(ESTP),Alex Vreeke(ENFJ),Jefferson ""Seaplane"" McDonough(ENTP),Dr. Xander ""Smolder"" Bravestone(ENTJ),Dr. Xander ""Smolder"" Bravestone(ENTJ),Van Pelt(ENTJ),Milo(ISFJ),Martha Kaply(INFP),Spencer Gilpin(INTP),",쥬만지,Jumanji,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17440,https://ssl.pstatic.net/imgmovie/mdi/mit110/0174/A7440-00.jpg,1995,조 존스톤,"['로빈 윌리엄스', '커스틴 던스트', '데이빗 알란 그리어', '아담 한 바이어드', '보니 헌트', '조나단 하이드', '베베 뉴워스']",9.22
